Статья,Янв 26,Фев 26,Мар 26,Апр 26,Итого
= Выручка (без НДС) =,,,,,
  Выручка (итого),829688.06,899471.07,680370.49,848147.70,3257677.32
    marketplace_ozon,174688.06,34594.17,50970.86,20278.84,280531.93
    direct_b2b,655000.00,864876.90,629399.63,827868.86,2977145.39
= Себестоимость (COGS) =,,,,,
  Себестоимость (итого),100000.00,50000.00,0.00,825000.00,975000.00
    manufacturing,100000.00,50000.00,0.00,825000.00,975000.00
Валовая прибыль,729688.06,849471.07,680370.49,23147.70,2282677.32
= Операционные расходы =,,,,,
  Зарплаты,53475.67,175467.46,76157.60,59906.14,365006.87
  Транспорт,150000.00,310000.00,102000.00,800000.00,1362000.00
  Доставка,3996.94,58725.76,2527.04,810.00,66059.74
  Лизинг (авто),197902.61,233469.09,205853.11,189793.11,827017.92
  Страхование (ОСАГО),25805.94,49734.48,0.00,49734.48,125274.90
  Обслуживание авто,0.00,24472.00,0.00,1428.57,25900.57
  Аренда,105289.73,74718.30,5714.29,5715.00,191437.32
  Коммунальные,0.00,0.00,41197.00,0.00,41197.00
  Связь,8333.33,0.00,5737.70,0.00,14071.03
  ПО / IT,54935.01,0.00,7700.00,0.00,62635.01
  Бухгалтерия,0.00,0.00,32700.00,0.00,32700.00
  Обучение,66100.00,0.00,0.00,0.00,66100.00
  Банковские сборы,950.00,950.00,950.00,4290.00,7140.00
OpEx (итого),666789.23,927537.09,480536.74,1111677.30,3186540.36
Операционная прибыль (EBIT),62898.83,-78066.02,199833.75,-1088529.60,-903863.04
Прочий доход,0.00,0.00,41700.00,0.00,41700.00
Налоги (итого),174416.77,43109.19,201721.36,8885.00,428132.32
  fns,174416.77,42153.00,201721.36,8403.00,426694.13
  social,0.00,956.19,0.00,482.00,1438.19
Чистый денежный результат,-111517.94,-121175.21,39812.39,-1097414.60,-1290295.36
